圖片名稱,場景名稱,圖片位址,定位資訊
1F-北向通道-1,P5534_0845,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/8a4e730237f74ff9bdbad7b2f0da1b9b.jpg,
4-雪茄工廠,P5534_0846,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/3e7b898dd0624213a8c1e0dbe3348268.jpg,
1F-西向2-1,P5534_0847,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/5c06bad068fb476d980c59bb4b62dac8.jpg,
9-澡堂,P5534_0848,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/eb428669704e4d348a0fc5f05ad84bcb.jpg,
7-醫護室,P5534_0849,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/cfc9d18e18e54b74af294f335c570ab1.jpg,
1F-南向走道-1,P5534_0850,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/274e269a4c2348b99e7d27a502e7f161.jpg,
1F-西南轉角-2,P5534_0851,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/eff364aa700645e79dad16640e60c16a.jpg,
1F-西向走道,P5534_0852,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/2ae5da77fff74558b07a9bd2721f41b0.jpg,
巴洛克花園-1-西南角,P5534_0853,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/51ada67a6a364bf0b917bea4367a042d.jpg,
巴洛克花園-2,P5534_0854,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/f579e27c829f48e89b85b5b4e542d74e.jpg,
巴洛克花園-3,P5534_0855,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/3ea753f99e7545a388d7db8d5b66743d.jpg,
巴洛克花園-4,P5534_0856,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/aef74488be0a4b4592d417cb5fbae295.jpg,
巴洛克花園-5,P5534_0857,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/49a71294995a4b77813b33fe8b4a9d44.jpg,
巴洛克花園-6,P5534_0858,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/d18d1fde8c54410397e68221381a3d6f.jpg,
巴洛克花園-7,P5534_0860,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/75c85cd03438419a9a0f19af50815ad4.jpg,
